Cost to Get Engineering Degree in Alberta year over year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Cost to Get an Engineering Degree in CAD (Unadujusted),Cost to Get an Engineering Degree in CAD (Adujusted for 2025 CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,500,"3,790.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,500,"3,574.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,500,"3,790.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,500,"2,921.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,625,"3,340.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,625,"3,144.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,689,"3,172.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,689,"2,909.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,758,"2,920.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,758,"2,606.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,910,"2,809.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,962,"2,760.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,"1,030",2790.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,"1,060",2762.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,"1,093",2735.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,"1,204",2886.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,"1,238",2851.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,"1,278",2805.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,"1,470",3078.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,"1,700",3371.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,"2,310",4515.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,"2,716",5209.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,"2,782",5330.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"3,095",5807.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"3,400",6279.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"3,664",6655.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"4,049",7203.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,"4,234",7395.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"4,201",7140.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,"4,344",7197.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,"4,504",7395.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,"4,801",7668.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"5,302",8315.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"5,044",7740.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"5,044",7591.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,"4,943",7279.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"5,099",7337.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,"5,319",7634.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,"5,585",7871.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"5,992",8205.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"6,155",8304.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"6,560",8771.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,"6,871",9011.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,"7,153",9277.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,"7,511",9605.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,"7,827",9855.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,"8,106",9977.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,"8,532",10301.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,"7,949",9527.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,"8,067",9354.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,"8,257",8966.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,"8,618",9007.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,"8,992",9176.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,"9,310",9310.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
